20,55,.,.,.,.,.,.,.,.,.,.,.
W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,.,.,S140A60D,.,.,.,W40x55y40z,EXIT
.,.,.,K,W40x25y40z,OT1,.,.,.,.,.,W40x55y40z,D
.,.,A1,.,W40x55y40z,.,.,.,A2,.,.,W40x55y40z,D
.,.,.,.,W40x55y40z,.,.,.,.,.,.,W40x55y40z,D
.,.,.,.,W40x55y40z,.,.,.,.,.,.,W40x55y40z,.
.,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,.,.,.,.,.,.,.,.
.,.,S180A45D,.,.,W40x55y40z,W40x55y40z,.,.,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z
.,.,.,.,.,W40x55y40z,.,.,.,.,W40x55y40z,S150A20D,.
.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,A1,.,.,.,.,A2,.
W40x55y40z,.,.,A1,W40x55y40z,.,.,.,.,W40x55y40z,.,.,.
W40x55y40z,W40x55y40z,.,.,.,.,.,.,A2,.,.,.,.
W40x25y40z,IW_SCALPLE,.,.,.,W40x55y40z,.,.,.,.,W40x55y40z,.,.
W40x25y40z,K,.,.,.,W40x55y40z,W40x55y40z,.,.,W40x55y40z,W40x55y40z,.,.
W40x25y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,.,W40x55y40z,K,W40x55y40z,.
W40x10y40z,.,.,.,.,W40x55y40z,W40x55y40z,W40x55y40z,.,W40x55y40z,W40x20y40z,W40x55y40z,.
W40x55y40z,W40x55y40z,W40x55y40z,.,.,W40x55y40z,W40x55y40z,W40x55y40z,.,.,.,.,.
SPAWN,.,.,.,S0A45D,W40x55y40z,W40x55y40z,W40x55y40z,.,A1,.,.,.
